Title,Worldwide_gross($),Budget(in$),IMDB,DURATION-Minutes,Year,Rotten_Tomatoes(%),Rating(Stars),CRBCR3ting,Popularity(in%),Picture Colour,HIT/FLOP
"Hello, Dolly!","3,32,00,000","2,53,00,000",7.2,148,1969,71,3.5,2,73,2,H
How Do You Know,"4,87,00,000","10,00,00,000",5.4,155,2010,51,2.5,3,69,2,F
Hudson Hawk,"1,72,00,000","6,50,00,000",5.7,100,1991,41,2.5,3,72,2,F
Hugo,"18,58,00,000","16,00,00,000",7.5,128,2011,71,4,3,71,2,H
The Huntsman: Winter's War,"16,50,00,000","11,50,00,000",6.1,120,2016,67,3,1,67,2,F
Inchon,"52,00,000","4,60,00,000",2.7,133,1982,54,1.5,3,73,2,F
Instinct,"3,41,00,000","8,00,00,000",6.5,144,1999,41,3.5,2,68,2,F
The Invasion,"40,00,000","8,00,00,000",5.9,129,2007,48,3,2,60,2,F
Ishtar,"1,44,00,000","5,10,00,000",4.2,145,1987,49,2,2,50,2,F
Jack Frost,"3,46,00,000","8,50,00,000",5.3,102,1998,41,2.5,2,72,2,F
Jack the Giant Slayer,"19,77,00,000","18,50,00,000",6.3,127,2013,53,3,2,90,2,F
John Carter,"28,41,00,000","26,37,00,000",6.6,134,2012,48,3.5,2,67,2,F
Jupiter Ascending,"18,40,00,000","17,50,00,000",5.4,121,2015,51,3,2,73,2,F
K-19: The Widowmaker,"6,57,00,000","10,00,00,000",6.7,141,2002,67,3.5,2,78,2,H
Krull,"1,65,00,000","2,70,00,000",6,133,1983,41,3,2,81,2,F
Land of the Lost,"6,88,00,000","10,00,00,000",5.4,92,2009,46,3,2,57,2,F
The Last Castle,"2,76,00,000","7,20,00,000",5.9,129,2001,49,3,2,68,2,F
Legends of Oz: Dorothy's Return,"1,87,00,000","7,00,00,000",5.6,126,2014,51,3,2,66,2,F
Live by Nightÿfilm currently playing,"2,17,00,000","6,50,00,000",6.4,135,2016,50,3.5,3,76,2,F
Lolita,"11,00,000","6,20,00,000",6.9,152,1997,61,3.5,1,83,2,H
The Lone Ranger,"26,05,00,000","22,50,00,000",6.5,149,2013,62,3.5,3,71,2,H
The Lovely Bones,"9,36,00,000","6,50,00,000",6.7,135,2009,63,3.5,2,78,2,H
Lucky You,"84,00,000","5,50,00,000",5.9,124,2007,41,3,2,70,2,F
The Man from U.N.C.L.E.,"10,98,00,000","7,50,00,000",7.3,116,2015,66,3.5,3,75,2,H
Mars Needs Moms,"3,90,00,000","15,00,00,000",5.4,88,2011,49,2.5,2,79,2,F
Monkeybone,"76,00,000","7,50,00,000",4.7,93,2001,42,2.5,2,78,2,F
Nine,"5,40,00,000","8,00,00,000",5.8,79,2009,49,3,2,80,2,F
The Nutcracker in 3D,"1,62,00,000","9,00,00,000",4.4,110,2010,49,2.5,2,70,2,F
One from the Heart,"6,00,000","2,60,00,000",6.5,107,1982,59,3.5,2,62,2,H
Osmosis Jones,"1,40,00,000","7,00,00,000",6.2,95,2001,48,3,2,76,2,F
Pan,"12,84,00,000","15,00,00,000",5.8,111,2015,46,3,2,83,2,F
Peter Pan,"12,20,00,000","13,06,00,000",6.9,77,2003,67,3.5,2,58,2,H
Pixels,"24,49,00,000","8,80,00,000",5.6,106,2015,62,3,2,65,2,F
Poseidon,"18,17,00,000","16,00,00,000",5.6,99,2006,56,3,2,62,2,F
The Postman,"2,08,00,000","8,00,00,000",6,177,1997,54,3,3,65,2,F
R.I.P.D.,"7,83,00,000","13,00,00,000",5.6,96,2013,51,3,1,81,2,F
Red Planet,"3,35,00,000","8,00,00,000",5.7,108,2000,49,3,2,76,2,F
Revolution,"4,00,000","2,80,00,000",5.2,126,1985,43,3,2,80,2,F
Rise of the Guardians,"30,69,00,000","14,50,00,000",7.3,97,2012,67,3.5,3,83,2,H
Rollerball,"2,59,00,000","7,00,00,000",6.6,129,2002,65,3.5,2,75,2,H
Rush Hour 3,"25,80,00,000","14,00,00,000",6.2,91,2007,54,3.5,2,62,2,F
Sahara,"11,93,00,000","16,00,00,000",6,127,2005,41,3,2,80,2,F
Seventh Son,"11,42,00,000","9,50,00,000",5.5,103,2015,49,3,3,70,2,F
Soldier,"1,46,00,000","6,00,00,000",6,155,1998,46,3,1,71,2,F
